model,temperature,top_p,frequency_penalty,presence_penalty,prompt,calls_per_cue,num_cues,hash,jaccard,recall10,ent_gap
gpt-4.1-nano,0.7,1.0,0.0,0.6,human_json,10,5,fc8aea36,0.0303,1.0,0.6429
gpt-4.1-nano,0.7,1.0,0.0,0.6,chatml_func,1,5,0045bf21,0.0802,1.0,3.2734
gpt-4.1-nano,0.7,0.95,0.3,0.0,chatml_func,5,5,010ccf4d,0.0541,1.0,1.0861
gpt-4.1-nano,1.1,0.95,0.3,0.6,human_json,10,5,0389f8b0,0.0482,1.0,1.1575
gpt-4.1-nano,0.7,1.0,0.3,0.6,human_json,1,5,0a91f2e8,0.0649,1.0,3.2601
gpt-4.1-nano,1.5,0.95,0.0,0.6,human_json,1,5,0dd056c9,0.0635,1.0,2.9693
gpt-4.1-nano,1.5,1.0,0.3,0.6,human_json,1,5,0f7f4aa6,0.062,1.0,2.318
gpt-4.1-nano,0.7,1.0,0.3,0.0,human_json,10,5,10440efb,0.0422,1.0,1.676
gpt-4.1-nano,1.1,1.0,0.3,0.0,human_json,10,5,148fe10c,0.0439,1.0,0.9062
gpt-4.1-nano,1.1,0.95,0.0,0.0,chatml_func,10,5,14b23282,0.0518,1.0,1.2014
gpt-4.1-nano,1.5,0.95,0.0,0.6,chatml_func,5,5,16f90b42,0.0563,1.0,1.5534
gpt-4.1-nano,1.5,1.0,0.3,0.6,chatml_func,5,5,19cc975b,0.0452,1.0,1.1261
gpt-4.1-nano,1.1,1.0,0.3,0.6,human_json,5,5,1a725bf2,0.0491,1.0,1.6838
gpt-4.1-nano,1.5,0.95,0.0,0.0,human_json,10,5,1b9a2ea3,0.0595,1.0,1.4412
gpt-4.1-nano,1.5,0.95,0.3,0.6,chatml_func,10,5,1ba5d42d,0.0409,1.0,1.0426
gpt-4.1-nano,1.5,0.95,0.3,0.0,chatml_func,1,5,1d6b7e89,0.0575,1.0,3.3914
gpt-4.1-nano,1.1,1.0,0.0,0.6,chatml_func,1,5,1f7fe9e1,0.0656,1.0,3.0205
