model,temperature,top_p,frequency_penalty,presence_penalty,prompt,calls_per_cue,num_cues,hash,jaccard,recall10,ent_gap
gpt-4.1-nano,0.7,1.0,0.0,0.0,chatml_func,5,5,ae8e3f30,0.0511,1.0,1.6462
gpt-4.1-nano,1.5,0.95,0.3,0.6,human_json,5,5,aebadc70,0.0526,1.0,1.4004
gpt-4.1-nano,1.5,1.0,0.0,0.6,human_json,1,5,b0ed05cb,0.0756,1.0,2.9265
gpt-4.1-nano,0.7,1.0,0.0,0.0,human_json,1,5,b48ea825,0.0861,1.0,3.5321
gpt-4.1-nano,1.5,0.95,0.0,0.6,chatml_func,1,5,b4b5d398,0.0594,1.0,3.0745
gpt-4.1-nano,0.7,0.95,0.0,0.6,chatml_func,10,5,b6015e99,0.0429,1.0,1.7077
gpt-4.1-nano,1.5,0.95,0.3,0.6,chatml_func,5,5,bcfeabc1,0.0447,1.0,0.9703
gpt-4.1-nano,1.5,0.95,0.3,0.0,human_json,1,5,becc0f90,0.0864,1.0,3.1635
gpt-4.1-nano,0.7,0.95,0.3,0.6,human_json,5,5,c166cbd0,0.0616,1.0,1.5397
gpt-4.1-nano,1.1,0.95,0.0,0.6,chatml_func,10,5,c4147cf5,0.0407,1.0,1.3305
gpt-4.1-nano,0.7,1.0,0.3,0.6,chatml_func,10,5,c80b034d,0.0322,0.8,1.1025
gpt-4.1-nano,1.1,1.0,0.3,0.0,chatml_func,10,5,caf875ee,0.0322,1.0,0.9327
gpt-4.1-nano,0.7,0.95,0.0,0.6,human_json,5,5,cd0fe40d,0.0531,0.8,1.5977
gpt-4.1-nano,0.7,1.0,0.0,0.0,human_json,10,5,ce13fcb5,0.0504,0.8,1.3905
gpt-4.1-nano,1.5,0.95,0.3,0.6,human_json,10,5,d0145716,0.0457,1.0,0.8651
gpt-4.1-nano,1.1,0.95,0.3,0.0,human_json,1,5,d0c5190b,0.0867,1.0,3.5608
gpt-4.1-nano,1.5,0.95,0.0,0.6,chatml_func,10,5,d136dffe,0.0371,1.0,1.3812
gpt-4.1-nano,1.1,0.95,0.3,0.0,chatml_func,5,5,d3dcb5a7,0.0559,1.0,1.597
gpt-4.1-nano,1.5,0.95,0.3,0.0,human_json,5,5,d711042d,0.0418,1.0,1.9501
gpt-4.1-nano,1.5,0.95,0.0,0.0,human_json,1,5,d7a6ee7f,0.0739,1.0,2.7781
gpt-4.1-nano,0.7,1.0,0.3,0.6,chatml_func,5,5,d8888673,0.05,1.0,1.3693
gpt-4.1-nano,0.7,0.95,0.3,0.6,human_json,10,5,d90f6fc2,0.0346,1.0,1.1873
gpt-4.1-nano,1.5,1.0,0.3,0.6,human_json,10,5,da323d06,0.036,1.0,0.8609
gpt-4.1-nano,1.5,1.0,0.0,0.0,chatml_func,1,5,daa928da,0.066,1.0,2.4112
gpt-4.1-nano,1.5,1.0,0.0,0.6,chatml_func,10,5,dc00f80a,0.0385,1.0,1.4793
gpt-4.1-nano,1.1,1.0,0.3,0.0,chatml_func,1,5,dc8029b0,0.0565,1.0,2.5359
gpt-4.1-nano,1.1,0.95,0.0,0.0,human_json,10,5,de27b037,0.0537,1.0,1.6313
gpt-4.1-nano,1.5,1.0,0.3,0.6,chatml_func,10,5,e3d2fd4e,0.0273,1.0,0.9665
gpt-4.1-nano,0.7,1.0,0.0,0.6,human_json,1,5,e6014cbf,0.0837,1.0,3.1023
gpt-4.1-nano,0.7,1.0,0.0,0.0,chatml_func,1,5,e60bd9f9,0.0743,1.0,3.3454
gpt-4.1-nano,1.5,1.0,0.3,0.6,human_json,5,5,e6b56ad7,0.055,1.0,0.9607
gpt-4.1-nano,1.1,1.0,0.0,0.6,human_json,5,5,e6f755bb,0.053,1.0,1.667
gpt-4.1-nano,1.5,1.0,0.3,0.0,chatml_func,10,5,e7c065e3,0.0279,1.0,0.806
gpt-4.1-nano,1.1,1.0,0.3,0.0,human_json,5,5,ec80a1be,0.0595,1.0,1.2566
gpt-4.1-nano,0.7,0.95,0.0,0.0,human_json,10,5,eca1e5b6,0.0521,1.0,1.1965
gpt-4.1-nano,1.1,1.0,0.0,0.0,chatml_func,5,5,ee0901fa,0.0412,0.8,1.4453
gpt-4.1-nano,0.7,0.95,0.0,0.0,human_json,1,5,efb92ce3,0.0878,1.0,3.3493
gpt-4.1-nano,1.5,1.0,0.0,0.6,chatml_func,1,5,f080e31f,0.0712,0.8,2.4216
gpt-4.1-nano,1.1,1.0,0.3,0.0,chatml_func,5,5,f3d8ca40,0.0428,1.0,1.098
gpt-4.1-nano,1.1,0.95,0.3,0.6,chatml_func,10,5,f9003e7f,0.0375,1.0,1.3455
gpt-4.1-nano,1.5,0.95,0.0,0.6,human_json,10,5,fbc621f9,0.0352,1.0,1.4916
gpt-4.1-nano,0.7,1.0,0.3,0.6,human_json,5,5,fc7d8b38,0.0506,1.0,1.8774
gpt-4.1-nano,0.7,1.0,0.0,0.6,human_json,10,5,fc8aea36,0.046,0.8,1.5761
gpt-4.1-nano,1.5,0.95,0.0,0.0,chatml_func,10,5,fe24e29e,0.045,1.0,1.3
